Time (h),miR-200,ZEB mRNA ,miR-34,SNAIL mRNA,Signal driving SNAIL
3.35,5402.683845,597.3160168,2651.149287,410.1214183,50000
3.36,5400.739531,597.7066719,2657.492455,410.3525149,50000
3.37,5398.79027,598.095323,2663.832,410.5821806,50000
3.38,5396.836148,598.4819755,2670.167945,410.8104365,50000
3.39,5394.877256,598.8666347,2676.500315,411.0373039,50000
3.4,5392.91368,599.2493061,2682.829133,411.262804,50000
3.41,5390.945509,599.629995,2689.154423,411.4869581,50000
3.42,5388.972832,600.0087068,2695.476209,411.7097875,50000
3.43,5386.995737,600.3854469,2701.794515,411.9313134,50000
3.44,5385.014312,600.7602207,2708.109364,412.151557,50000
3.45,5383.028646,601.1330335,2714.42078,412.3705395,50000
3.46,5381.038827,601.5038907,2720.728787,412.5882823,50000
3.47,5379.044943,601.8727977,2727.033409,412.8048065,50000
3.48,5377.036777,602.2409627,2733.331339,413.017347,50000
3.49,5375.014281,602.6084072,2739.622558,413.225888,50000
3.5,5372.986807,602.9740551,2745.910082,413.4329558,50000
3.51,5370.954423,603.3379143,2752.193928,413.6385656,50000
3.52,5368.917193,603.6999928,2758.474113,413.8427327,50000
3.53,5366.875184,604.0602987,2764.750653,414.0454721,50000
3.54,5364.828462,604.4188399,2771.023565,414.2467993,50000
3.55,5362.777093,604.7756243,2777.292866,414.4467293,50000
3.56,5360.721142,605.13066,2783.558572,414.6452774,50000
3.57,5358.660677,605.483955,2789.8207,414.8424588,50000
3.58,5356.595763,605.8355171,2796.079265,415.0382887,50000
3.59,5354.526466,606.1853544,2802.334286,415.2327824,50000
3.6,5352.452852,606.5334749,2808.585778,415.4259551,50000
3.61,5350.374987,606.8798866,2814.833759,415.617822,50000
3.62,5348.292938,607.2245973,2821.078244,415.8083982,50000
3.63,5346.20677,607.5676152,2827.31925,415.9976991,50000
3.64,5344.116549,607.9089482,2833.556794,416.1857399,50000
3.65,5342.022342,608.2486042,2839.790892,416.3725357,50000
3.66,5339.924214,608.5865912,2846.021561,416.5581018,50000
3.67,5337.822232,608.9229173,2852.248818,416.7424535,50000
3.68,5335.716462,609.2575904,2858.472679,416.9256058,50000
3.69,5333.606969,609.5906184,2864.693161,417.1075741,50000
3.7,5331.49382,609.9220094,2870.910281,417.2883735,50000
3.71,5329.37708,610.2517714,2877.124054,417.4680194,50000
3.72,5327.256817,610.5799122,2883.334497,417.6465268,50000
3.73,5325.133095,610.9064399,2889.541628,417.8239111,50000
3.74,5323.005981,611.2313625,2895.745463,418.0001874,50000
3.75,5320.875541,611.554688,2901.946018,418.175371,50000
3.76,5318.741841,611.8764243,2908.143309,418.349477,50000
3.77,5316.604948,612.1965794,2914.337354,418.5225207,50000
3.78,5314.464926,612.5151612,2920.52817,418.6945174,50000
3.79,5312.321843,612.8321778,2926.715771,418.8654822,50000
3.8,5310.175764,613.1476372,2932.900177,419.0354304,50000
3.81,5308.026755,613.4615473,2939.081401,419.2043771,50000
3.82,5305.874882,613.7739161,2945.259463,419.3723376,50000
3.83,5303.720212,614.0847515,2951.434377,419.5393272,50000
3.84,5301.562811,614.3940617,2957.606161,419.705361,50000
3.85,5299.402743,614.7018544,2963.774831,419.8704542,50000
3.86,5297.240077,615.0081378,2969.940404,420.0346221,50000
3.87,5295.074877,615.3129197,2976.102896,420.1978799,50000
3.88,5292.90721,615.6162083,2982.262324,420.3602428,50000
3.89,5290.737141,615.9180113,2988.418705,420.5217261,50000
3.9,5288.564737,616.2183369,2994.572055,420.6823449,50000
3.91,5286.390064,616.517193,3000.72239,420.8421144,50000
3.92,5284.213188,616.8145876,3006.869728,421.00105,50000
3.93,5282.034175,617.1105287,3013.014084,421.1591667,50000
3.94,5279.853091,617.4050242,3019.155477,421.3164799,50000
3.95,5277.670002,617.6980821,3025.293921,421.4730047,50000
3.96,5275.484973,617.9897104,3031.429434,421.6287564,50000
3.97,5273.298073,618.2799171,3037.562032,421.7837502,50000
3.98,5271.109365,618.5687101,3043.691731,421.9380013,50000
3.99,5268.915161,618.8562307,3049.817468,422.0905874,50000
